Name,autobus_autocars_critair,autobus_autocars_horaires,date_debut,date_fin,deux_rm_critair,deux_rm_horaires,id,pl_critair,pl_horaires,url_arrete,url_site_information,vp_critair,vp_horaires,vul_critair,vul_horaires,publisher_forme_juridique,publisher_nom,publisher_siren,publisher_zfe_id,geo_point_2d,url_site,OBJECTID,Shape_Area,Shape_Length,SHAPE_Area,SHAPE_Length,date_fin_init,date_maj,etiquette,gid,nom,gml_id,creation_date,modification_date,proprietaire_vehicule,taxis_critair,url_site_informations,obj_datec,obj_datem,objectid,shape_area,shape_len,autobus_critair,autobus_horaires,cdate,mdate
Montpellier Méditerranée Métropole,V2,24/7,2022-07-01,,,24/4,243400017-ZFE-001,V3,24/7,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,V3,24/7,V3,24/7,Métropole,Montpellier Méditerranée Métropole,243400017,MONTPELLIER,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2025-01-01,2026-12-31,NC,,244900015-ZFE-001,NC,,https://www.angersloiremetropole.fr/fileadmin/user_upload/arrete_2025_zfem.pdf,,NC,,NC,,Communauté urbaine,CU Angers Loire Métropole,244900015,ANGERS,"{'lat': 47.472634515874546, 'lon': -0.5553727783178578}",https://www.angersloiremetropole.fr/mon-quotidien/air-et-bruit/zone-a-faibles-emissions-mobilite/index.html,,,,,,,,,,,,,,,,,,,,,,,,,
,V4,24/7,2022-09-01,2032-09-01,V4,24/7,2000234140-ZFE-003,V4,24/7,https://zfe.metropole-rouen-normandie.fr/derogations,https://zfe.metropole-rouen-normandie.fr/,V4,24/7,V4,24/7,Métropole,Métropole Rouen Normandie,200023414,ROUEN,,,1.0,0.010633335738855167,0.9306118035859897,,,,,,,,,,,,,,,,,,,,,,
,V5,24/7,2025-01-01,2034-12-31,V5,24/7,245400676-ZFE-001,V5,24/7,https://www.grandnancy.eu/fileadmin/fichiers/VIVRE_ET_HABITER/ZFE/Arrete_ZFE_Metropole_Grand_Nancy.pdf,https://www.grandnancy.eu/vivre-habiter/qualite-de-lair/zone-a-faible-emission,V5,24/7,V5,24/7,Métropole,Métropole du Grand Nancy,245400676,NANCY,,,8.0,,,0.017430524736829843,0.832477640861313,,,,,,,,,,,,,,,,,,,,
,,,2022-03-01,,,,243100518-ZFE-001,NC,24/7,https://metropole.toulouse.fr/mon-environnement/nature-et-climat/qualite-de-lair,https://metropole.toulouse.fr/recherche?key=zfe,,,V5,24/7,Métropole,Toulouse Métropole,243100518,TOULOUSE,"{'lat': 43.6002183238287, 'lon': 1.4323757132965294}",,,,,,,2022-09-01,,,,,,,,,,,,,,,,,,,
,V4,24/7,2023-01-01,,V4,24/7,243100518-ZFE-003,V4,24/7,https://metropole.toulouse.fr/mon-environnement/nature-et-climat/qualite-de-lair,https://metropole.toulouse.fr/recherche?key=zfe,V4,24/7,V4,24/7,Métropole,Toulouse Métropole,243100518,TOULOUSE,"{'lat': 43.6002183238287, 'lon': 1.4323757132965294}",,,,,,,2024-01-01,,,,,,,,,,,,,,,,,,,
,V4,24/7,2024-01-01,,V4,24/7,243100518-ZFE-004,V4,24/7,https://metropole.toulouse.fr/mon-environnement/nature-et-climat/qualite-de-lair,https://metropole.toulouse.fr/recherche?key=zfe,V4,24/7,V4,24/7,Métropole,Toulouse Métropole,243100518,TOULOUSE,"{'lat': 43.6002183238287, 'lon': 1.4323757132965294}",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2022-09-01,,,,243100518-ZFE-002,V4,24/7,https://metropole.toulouse.fr/mon-environnement/nature-et-climat/qualite-de-lair,https://metropole.toulouse.fr/recherche?key=zfe,,,V4,24/7,Métropole,Toulouse Métropole,243100518,TOULOUSE,"{'lat': 43.6002183238287, 'lon': 1.4323757132965294}",,,,,,,2023-01-01,,,,,,,,,,,,,,,,,,,
,,,2019-05-02,,,,200040715-ZFE-001,V3,24/7,https://www.mobilites-m.fr/pdf/arrete_ZFE_VUL_PL.pdf,,,,V3,24/7,Syndicat,Syndicat Mixte des Mobilités de l'Aire Grenobloise,253800825,GRENOBLE,,https://www.grenoblealpesmetropole.fr/831-la-zfe.htm,,,,,,,,,,,,,,,,,,,,,,,,,
,V5,24/7,2022-01-01,2022-12-31,,,200067213-ZFE-001,V5,24/7,https://www.grandreims.fr/fileadmin/grandreims/MEDIA/Les_competences/Developpement_durable/ZFEM/ZFEM_SYNTHESE_AVIS_GRAND_REIMS__2_.pdf,https://www.grandreims.fr/les-competences/developpement-durable/zone-a-faibles-emissions-mobilite-zfem-du-grand-reims-14426.html,V5,24/7,V5,24/7,Communauté urbaine,CU du Grand Reims,200067213,REIMS,,,,,,,,,2021-06-24,,1.0,ZFEM,,,,,,,,,,,,,,,
,V4,24/7,2023-01-01,2028-12-31,,,200067213-ZFE-002,V4,24/7,https://opendata.spl-xdemat.fr/fichiers/arretes/bFVnNnlXY3VPYW1oZzVxbkVuZkpvY1ZxR1ZnOVJfSm9IN0c4d2t2Mng3MC4./CRECO202301-Arretemodificatifsurlazoneafaiblesemissionsmobilite.pdf,https://www.grandreims.fr/les-competences/developpement-durable/zone-a-faibles-emissions-mobilite-zfem-du-grand-reims-14426.html,V4,24/7,V4,24/7,Communauté urbaine,CU du Grand Reims,200067213,REIMS,,,,,,,,,2023-05-04,,2.0,ZFEM,,,,,,,,,,,,,,,
,NC,Mo-Su 00:00-24:00; May 1 off,2024-12-30,2026-12-31,NC,Mo-Su 00:00-24:00; May 1 off,243500139-ZFE-001,NC,Mo-Su 00:00-24:00; May 1 off,https://metropole.rennes.fr/sites/default/files/VP-documents/ZFE_Arrêté-exécutoire.pdf,https://metropole.rennes.fr/la-zone-faibles-emissions-de-rennes-metropole,NC,Mo-Su 00:00-24:00; May 1 off,NC,Mo-Su 00:00-24:00; May 1 off,Métropole,Rennes Métropole,243500139,RENNES,"{'lat': 48.11172167214804, 'lon': -1.6673136315679955}",,,,,,,,,,,,zfe.243500139-ZFE-001,,,,,,,,,,,,,,
,,24/7,2025-01-01,,V3,24/7,200046977-ZFE-001,V3,24/7,https://zfe.grandlyon.com/app/uploads/2024/01/Arrete-ZFE-n%C2%B02023-ZFE-007_publie-28122023.pdf,https://www.grandlyon.com/actions/zfe.html#c20726,V3,24/7,V3,24/7,Établissement Public,SM des transports pour le Rhône et l'agglomération lyonnaise (SYTRAL),256900994,LYON,,,,,,,,,,,,,,,,,,,,,,,,,,,
