date,station_id,station_name,station_env,station_influence,no2_ug_m3,lat,lon
2017-08-17,FR01011,Metz-Centre,Urbaine,Fond,30.6,49.119442,6.180833
2017-08-18,FR01011,Metz-Centre,Urbaine,Fond,18.7,49.119442,6.180833
2017-08-19,FR01011,Metz-Centre,Urbaine,Fond,15.7,49.119442,6.180833
2017-08-20,FR01011,Metz-Centre,Urbaine,Fond,35.4,49.119442,6.180833
2017-08-21,FR01011,Metz-Centre,Urbaine,Fond,25.8,49.119442,6.180833
2017-08-22,FR01011,Metz-Centre,Urbaine,Fond,30.0,49.119442,6.180833
2017-08-23,FR01011,Metz-Centre,Urbaine,Fond,54.9,49.119442,6.180833
2017-08-24,FR01011,Metz-Centre,Urbaine,Fond,32.5,49.119442,6.180833
2017-08-25,FR01011,Metz-Centre,Urbaine,Fond,36.9,49.119442,6.180833
2017-08-26,FR01011,Metz-Centre,Urbaine,Fond,53.6,49.119442,6.180833
2017-08-27,FR01011,Metz-Centre,Urbaine,Fond,48.4,49.119442,6.180833
2017-08-28,FR01011,Metz-Centre,Urbaine,Fond,59.9,49.119442,6.180833
2017-08-29,FR01011,Metz-Centre,Urbaine,Fond,74.2,49.119442,6.180833
2017-08-30,FR01011,Metz-Centre,Urbaine,Fond,46.0,49.119442,6.180833
2017-08-31,FR01011,Metz-Centre,Urbaine,Fond,38.9,49.119442,6.180833
2017-09-01,FR01011,Metz-Centre,Urbaine,Fond,44.8,49.119442,6.180833
2017-09-02,FR01011,Metz-Centre,Urbaine,Fond,34.7,49.119442,6.180833
2017-09-03,FR01011,Metz-Centre,Urbaine,Fond,40.7,49.119442,6.180833
2017-09-04,FR01011,Metz-Centre,Urbaine,Fond,34.7,49.119442,6.180833
2017-09-05,FR01011,Metz-Centre,Urbaine,Fond,37.4,49.119442,6.180833
2017-09-06,FR01011,Metz-Centre,Urbaine,Fond,16.2,49.119442,6.180833
2017-09-07,FR01011,Metz-Centre,Urbaine,Fond,30.6,49.119442,6.180833
2017-09-08,FR01011,Metz-Centre,Urbaine,Fond,34.2,49.119442,6.180833
2017-09-09,FR01011,Metz-Centre,Urbaine,Fond,22.7,49.119442,6.180833
2017-09-10,FR01011,Metz-Centre,Urbaine,Fond,19.5,49.119442,6.180833
2017-09-11,FR01011,Metz-Centre,Urbaine,Fond,23.4,49.119442,6.180833
2017-09-12,FR01011,Metz-Centre,Urbaine,Fond,22.7,49.119442,6.180833
2017-09-13,FR01011,Metz-Centre,Urbaine,Fond,38.2,49.119442,6.180833
2017-09-14,FR01011,Metz-Centre,Urbaine,Fond,22.3,49.119442,6.180833
2017-09-15,FR01011,Metz-Centre,Urbaine,Fond,45.1,49.119442,6.180833
2017-09-16,FR01011,Metz-Centre,Urbaine,Fond,29.5,49.119442,6.180833
2017-09-17,FR01011,Metz-Centre,Urbaine,Fond,43.3,49.119442,6.180833
2017-09-18,FR01011,Metz-Centre,Urbaine,Fond,33.7,49.119442,6.180833
2017-09-19,FR01011,Metz-Centre,Urbaine,Fond,35.7,49.119442,6.180833
2017-09-20,FR01011,Metz-Centre,Urbaine,Fond,65.1,49.119442,6.180833
2017-09-21,FR01011,Metz-Centre,Urbaine,Fond,71.3,49.119442,6.180833
2017-09-22,FR01011,Metz-Centre,Urbaine,Fond,48.1,49.119442,6.180833
2017-09-23,FR01011,Metz-Centre,Urbaine,Fond,62.3,49.119442,6.180833
2017-09-24,FR01011,Metz-Centre,Urbaine,Fond,43.8,49.119442,6.180833
2017-09-25,FR01011,Metz-Centre,Urbaine,Fond,72.2,49.119442,6.180833
2017-09-26,FR01011,Metz-Centre,Urbaine,Fond,71.8,49.119442,6.180833
2017-09-27,FR01011,Metz-Centre,Urbaine,Fond,82.7,49.119442,6.180833
2017-09-28,FR01011,Metz-Centre,Urbaine,Fond,61.9,49.119442,6.180833
2017-09-29,FR01011,Metz-Centre,Urbaine,Fond,42.2,49.119442,6.180833
2017-09-30,FR01011,Metz-Centre,Urbaine,Fond,30.8,49.119442,6.180833
2017-10-01,FR01011,Metz-Centre,Urbaine,Fond,19.6,49.119442,6.180833
2017-10-02,FR01011,Metz-Centre,Urbaine,Fond,24.0,49.119442,6.180833
2017-10-03,FR01011,Metz-Centre,Urbaine,Fond,28.4,49.119442,6.180833
2017-10-04,FR01011,Metz-Centre,Urbaine,Fond,40.1,49.119442,6.180833
2017-10-05,FR01011,Metz-Centre,Urbaine,Fond,35.1,49.119442,6.180833
2017-10-06,FR01011,Metz-Centre,Urbaine,Fond,26.4,49.119442,6.180833
2017-10-07,FR01011,Metz-Centre,Urbaine,Fond,25.3,49.119442,6.180833
2017-10-08,FR01011,Metz-Centre,Urbaine,Fond,30.0,49.119442,6.180833
2017-10-09,FR01011,Metz-Centre,Urbaine,Fond,33.6,49.119442,6.180833
2017-10-10,FR01011,Metz-Centre,Urbaine,Fond,40.7,49.119442,6.180833
2017-10-11,FR01011,Metz-Centre,Urbaine,Fond,59.4,49.119442,6.180833
2017-10-12,FR01011,Metz-Centre,Urbaine,Fond,57.9,49.119442,6.180833
2017-10-13,FR01011,Metz-Centre,Urbaine,Fond,88.4,49.119442,6.180833
2017-10-14,FR01011,Metz-Centre,Urbaine,Fond,75.0,49.119442,6.180833
2017-10-15,FR01011,Metz-Centre,Urbaine,Fond,34.2,49.119442,6.180833
2017-10-16,FR01011,Metz-Centre,Urbaine,Fond,68.4,49.119442,6.180833
2017-10-17,FR01011,Metz-Centre,Urbaine,Fond,84.7,49.119442,6.180833
2017-10-18,FR01011,Metz-Centre,Urbaine,Fond,86.9,49.119442,6.180833
2017-10-19,FR01011,Metz-Centre,Urbaine,Fond,55.6,49.119442,6.180833
2017-10-20,FR01011,Metz-Centre,Urbaine,Fond,50.6,49.119442,6.180833
2017-10-21,FR01011,Metz-Centre,Urbaine,Fond,25.5,49.119442,6.180833
2017-10-22,FR01011,Metz-Centre,Urbaine,Fond,15.6,49.119442,6.180833
2017-10-23,FR01011,Metz-Centre,Urbaine,Fond,41.3,49.119442,6.180833
2017-10-24,FR01011,Metz-Centre,Urbaine,Fond,34.0,49.119442,6.180833
2017-10-25,FR01011,Metz-Centre,Urbaine,Fond,37.0,49.119442,6.180833
2017-10-26,FR01011,Metz-Centre,Urbaine,Fond,49.9,49.119442,6.180833
2017-10-27,FR01011,Metz-Centre,Urbaine,Fond,43.8,49.119442,6.180833
2017-10-28,FR01011,Metz-Centre,Urbaine,Fond,31.2,49.119442,6.180833
2017-10-29,FR01011,Metz-Centre,Urbaine,Fond,57.4,49.119442,6.180833
2017-10-30,FR01011,Metz-Centre,Urbaine,Fond,75.9,49.119442,6.180833
2017-10-31,FR01011,Metz-Centre,Urbaine,Fond,72.8,49.119442,6.180833
2017-11-01,FR01011,Metz-Centre,Urbaine,Fond,71.5,49.119442,6.180833
2017-11-02,FR01011,Metz-Centre,Urbaine,Fond,37.7,49.119442,6.180833
2017-11-03,FR01011,Metz-Centre,Urbaine,Fond,80.1,49.119442,6.180833
2017-11-04,FR01011,Metz-Centre,Urbaine,Fond,49.0,49.119442,6.180833
2017-11-05,FR01011,Metz-Centre,Urbaine,Fond,30.6,49.119442,6.180833
2017-11-06,FR01011,Metz-Centre,Urbaine,Fond,47.9,49.119442,6.180833
2017-11-07,FR01011,Metz-Centre,Urbaine,Fond,42.3,49.119442,6.180833
2017-11-08,FR01011,Metz-Centre,Urbaine,Fond,29.5,49.119442,6.180833
2017-11-09,FR01011,Metz-Centre,Urbaine,Fond,40.2,49.119442,6.180833
2017-11-10,FR01011,Metz-Centre,Urbaine,Fond,35.2,49.119442,6.180833
2017-11-11,FR01011,Metz-Centre,Urbaine,Fond,19.2,49.119442,6.180833
2017-11-12,FR01011,Metz-Centre,Urbaine,Fond,19.5,49.119442,6.180833
2017-11-13,FR01011,Metz-Centre,Urbaine,Fond,56.5,49.119442,6.180833
2017-11-14,FR01011,Metz-Centre,Urbaine,Fond,51.4,49.119442,6.180833
2017-11-15,FR01011,Metz-Centre,Urbaine,Fond,63.0,49.119442,6.180833
2017-11-16,FR01011,Metz-Centre,Urbaine,Fond,42.8,49.119442,6.180833
2017-11-17,FR01011,Metz-Centre,Urbaine,Fond,43.8,49.119442,6.180833
2017-11-18,FR01011,Metz-Centre,Urbaine,Fond,41.4,49.119442,6.180833
2017-11-19,FR01011,Metz-Centre,Urbaine,Fond,33.6,49.119442,6.180833
2017-11-20,FR01011,Metz-Centre,Urbaine,Fond,41.1,49.119442,6.180833
2017-11-21,FR01011,Metz-Centre,Urbaine,Fond,43.2,49.119442,6.180833
2017-11-22,FR01011,Metz-Centre,Urbaine,Fond,63.3,49.119442,6.180833
2017-11-23,FR01011,Metz-Centre,Urbaine,Fond,36.3,49.119442,6.180833
2017-11-24,FR01011,Metz-Centre,Urbaine,Fond,56.9,49.119442,6.180833
2017-11-25,FR01011,Metz-Centre,Urbaine,Fond,24.2,49.119442,6.180833
2017-11-26,FR01011,Metz-Centre,Urbaine,Fond,39.4,49.119442,6.180833
2017-11-27,FR01011,Metz-Centre,Urbaine,Fond,38.3,49.119442,6.180833
2017-11-28,FR01011,Metz-Centre,Urbaine,Fond,60.8,49.119442,6.180833
2017-11-29,FR01011,Metz-Centre,Urbaine,Fond,38.3,49.119442,6.180833
2017-11-30,FR01011,Metz-Centre,Urbaine,Fond,52.0,49.119442,6.180833
2017-12-01,FR01011,Metz-Centre,Urbaine,Fond,62.1,49.119442,6.180833
2017-12-02,FR01011,Metz-Centre,Urbaine,Fond,39.4,49.119442,6.180833
2017-12-03,FR01011,Metz-Centre,Urbaine,Fond,31.1,49.119442,6.180833
2017-12-04,FR01011,Metz-Centre,Urbaine,Fond,31.4,49.119442,6.180833
2017-12-05,FR01011,Metz-Centre,Urbaine,Fond,41.0,49.119442,6.180833
2017-12-06,FR01011,Metz-Centre,Urbaine,Fond,45.6,49.119442,6.180833
2017-12-07,FR01011,Metz-Centre,Urbaine,Fond,34.5,49.119442,6.180833
2017-12-08,FR01011,Metz-Centre,Urbaine,Fond,56.8,49.119442,6.180833
2017-12-09,FR01011,Metz-Centre,Urbaine,Fond,39.1,49.119442,6.180833
2017-12-10,FR01011,Metz-Centre,Urbaine,Fond,18.8,49.119442,6.180833
2017-12-11,FR01011,Metz-Centre,Urbaine,Fond,31.0,49.119442,6.180833
2017-12-12,FR01011,Metz-Centre,Urbaine,Fond,64.0,49.119442,6.180833
2017-12-13,FR01011,Metz-Centre,Urbaine,Fond,42.4,49.119442,6.180833
2017-12-14,FR01011,Metz-Centre,Urbaine,Fond,50.4,49.119442,6.180833
2017-12-15,FR01011,Metz-Centre,Urbaine,Fond,47.8,49.119442,6.180833
2017-12-16,FR01011,Metz-Centre,Urbaine,Fond,25.7,49.119442,6.180833
2017-12-17,FR01011,Metz-Centre,Urbaine,Fond,26.0,49.119442,6.180833
2017-12-18,FR01011,Metz-Centre,Urbaine,Fond,67.4,49.119442,6.180833
2017-12-19,FR01011,Metz-Centre,Urbaine,Fond,48.8,49.119442,6.180833
2017-12-20,FR01011,Metz-Centre,Urbaine,Fond,37.3,49.119442,6.180833
2017-12-21,FR01011,Metz-Centre,Urbaine,Fond,44.4,49.119442,6.180833
2017-12-22,FR01011,Metz-Centre,Urbaine,Fond,33.9,49.119442,6.180833
2017-12-23,FR01011,Metz-Centre,Urbaine,Fond,35.3,49.119442,6.180833
2017-12-24,FR01011,Metz-Centre,Urbaine,Fond,23.8,49.119442,6.180833
2017-12-25,FR01011,Metz-Centre,Urbaine,Fond,28.9,49.119442,6.180833
2017-12-26,FR01011,Metz-Centre,Urbaine,Fond,26.1,49.119442,6.180833
