date,station_id,no2_ug_m3,station_name,station_env,station_influence,lat,lon
2017-08-01,FR01011,40.1,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2017-09-01,FR01011,42.05333333333333,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2017-10-01,FR01011,46.73225806451613,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2017-11-01,FR01011,44.3,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2017-12-01,FR01011,38.019354838709674,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2018-01-01,FR01011,38.593548387096774,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2018-02-01,FR01011,46.267857142857146,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2018-03-01,FR01011,50.6741935483871,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2018-04-01,FR01011,48.6,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2018-05-01,FR01011,38.89354838709678,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2018-06-01,FR01011,29.290000000000003,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2018-07-01,FR01011,38.377419354838715,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2018-08-01,FR01011,40.067741935483866,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2018-09-01,FR01011,51.10333333333333,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2018-10-01,FR01011,54.170967741935485,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2018-11-01,FR01011,45.42333333333333,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2018-12-01,FR01011,37.54516129032258,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2019-01-01,FR01011,42.351612903225806,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2019-02-01,FR01011,68.27857142857142,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2019-03-01,FR01011,44.270967741935486,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2019-04-01,FR01011,43.01,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2019-05-01,FR01011,32.73870967741935,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2019-06-01,FR01011,30.46333333333333,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2019-07-01,FR01011,34.73548387096774,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2019-08-01,FR01011,32.24838709677419,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2019-09-01,FR01011,35.169999999999995,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2019-10-01,FR01011,32.23870967741935,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2019-11-01,FR01011,40.99333333333333,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2019-12-01,FR01011,43.061290322580646,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2020-01-01,FR01011,39.8258064516129,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2020-02-01,FR01011,33.91724137931035,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2020-03-01,FR01011,33.13870967741936,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2020-04-01,FR01011,23.986666666666668,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2020-05-01,FR01011,21.616129032258065,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2020-06-01,FR01011,23.06,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2020-07-01,FR01011,28.509677419354837,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2020-08-01,FR01011,33.08387096774193,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2020-09-01,FR01011,53.156666666666666,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2020-10-01,FR01011,29.97741935483871,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2020-11-01,FR01011,36.266666666666666,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2020-12-01,FR01011,34.46451612903226,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2021-01-01,FR01011,34.829032258064515,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2021-02-01,FR01011,38.74285714285714,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2021-03-01,FR01011,42.11290322580645,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2021-04-01,FR01011,30.720000000000002,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2021-05-01,FR01011,19.274193548387096,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2021-06-01,FR01011,23.77,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2021-07-01,FR01011,23.374193548387098,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2021-08-01,FR01011,20.938709677419357,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2021-09-01,FR01011,38.14333333333333,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2021-10-01,FR01011,38.641935483870974,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2021-11-01,FR01011,37.38,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2021-12-01,FR01011,34.28387096774193,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2022-01-01,FR01011,35.13870967741936,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2022-02-01,FR01011,31.45,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2022-03-01,FR01011,52.041935483870965,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2022-04-01,FR01011,29.78666666666667,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2022-05-01,FR01011,26.706451612903226,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2022-06-01,FR01011,23.206666666666663,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2022-07-01,FR01011,25.151612903225804,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2022-08-01,FR01011,26.87741935483871,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2022-09-01,FR01011,30.526666666666664,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2022-10-01,FR01011,38.222580645161294,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2022-11-01,FR01011,31.023333333333333,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2022-12-01,FR01011,34.03225806451613,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2023-01-01,FR01011,24.519354838709678,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2023-02-01,FR01011,34.36666666666667,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2023-03-01,FR01011,28.756666666666668,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2023-04-01,FR01011,26.436666666666667,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2023-05-01,FR01011,21.69677419354839,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2023-06-01,FR01011,25.866666666666667,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2023-07-01,FR01011,19.019354838709678,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2023-08-01,FR01011,22.864516129032257,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2023-09-01,FR01011,36.82,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2023-10-01,FR01011,35.49677419354839,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2023-11-01,FR01011,26.429166666666664,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2023-12-01,FR01011,25.57777777777778,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2024-01-01,FR01011,22.92509578544061,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2024-02-01,FR01011,20.272413793103446,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2024-03-01,FR01011,28.412903225806453,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2024-04-01,FR01011,23.1,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2024-05-01,FR01011,17.5258064516129,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2024-06-01,FR01011,13.686666666666666,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2024-07-01,FR01011,19.44193548387097,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2024-08-01,FR01011,15.44516129032258,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2024-09-01,FR01011,20.276666666666667,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2024-10-01,FR01011,29.33225806451613,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2024-11-01,FR01011,24.183333333333334,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2024-12-01,FR01011,24.85483870967742,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2025-01-01,FR01011,30.81935483870968,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2025-02-01,FR01011,29.38571428571429,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2025-03-01,FR01011,39.67741935483871,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2025-04-01,FR01011,35.9,Metz-Centre,Urbaine,Fond,49.119442,6.180833
2017-08-01,FR03068,84.48,TOULON FOCH,Urbaine,Trafic,43.126821,5.921605
2017-09-01,FR03068,83.04333333333332,TOULON FOCH,Urbaine,Trafic,43.126821,5.921605
2017-10-01,FR03068,87.78387096774195,TOULON FOCH,Urbaine,Trafic,43.126821,5.921605
2017-11-01,FR03068,94.36999999999999,TOULON FOCH,Urbaine,Trafic,43.126821,5.921605
2017-12-01,FR03068,91.19354838709677,TOULON FOCH,Urbaine,Trafic,43.126821,5.921605
2018-01-01,FR03068,67.62258064516129,TOULON FOCH,Urbaine,Trafic,43.126821,5.921605
2018-02-01,FR03068,79.26296296296296,TOULON FOCH,Urbaine,Trafic,43.126821,5.921605
2018-03-01,FR03068,75.98064516129033,TOULON FOCH,Urbaine,Trafic,43.126821,5.921605
2018-04-01,FR03068,72.28999999999999,TOULON FOCH,Urbaine,Trafic,43.126821,5.921605
2018-05-01,FR03068,65.00322580645161,TOULON FOCH,Urbaine,Trafic,43.126821,5.921605
2018-06-01,FR03068,66.84,TOULON FOCH,Urbaine,Trafic,43.126821,5.921605
2018-07-01,FR03068,70.64193548387097,TOULON FOCH,Urbaine,Trafic,43.126821,5.921605
2018-08-01,FR03068,73.55483870967741,TOULON FOCH,Urbaine,Trafic,43.126821,5.921605
2018-09-01,FR03068,79.32,TOULON FOCH,Urbaine,Trafic,43.126821,5.921605
2018-10-01,FR03068,75.75,TOULON FOCH,Urbaine,Trafic,43.126821,5.921605
2018-11-01,FR03068,74.90344827586206,TOULON FOCH,Urbaine,Trafic,43.126821,5.921605
2018-12-01,FR03068,79.92903225806452,TOULON FOCH,Urbaine,Trafic,43.126821,5.921605
2019-01-01,FR03068,97.07741935483871,TOULON FOCH,Urbaine,Trafic,43.126821,5.921605
2019-02-01,FR03068,98.66785714285713,TOULON FOCH,Urbaine,Trafic,43.126821,5.921605
2019-03-01,FR03068,80.88064516129033,TOULON FOCH,Urbaine,Trafic,43.126821,5.921605
