date,station_id,station_name,station_env,station_influence,no2_ug_m3,lat,lon,zone
2016-02-05,FR15018,Voiron Urbain,Urbaine,Fond,30.0,45.360176,5.589419,GRENOBLE
2016-02-06,FR15018,Voiron Urbain,Urbaine,Fond,16.0,45.360176,5.589419,GRENOBLE
2016-02-07,FR15018,Voiron Urbain,Urbaine,Fond,16.0,45.360176,5.589419,GRENOBLE
2016-02-08,FR15018,Voiron Urbain,Urbaine,Fond,32.0,45.360176,5.589419,GRENOBLE
2016-02-09,FR15018,Voiron Urbain,Urbaine,Fond,13.0,45.360176,5.589419,GRENOBLE
2016-02-10,FR15018,Voiron Urbain,Urbaine,Fond,25.0,45.360176,5.589419,GRENOBLE
2016-02-11,FR15018,Voiron Urbain,Urbaine,Fond,22.0,45.360176,5.589419,GRENOBLE
2016-02-12,FR15018,Voiron Urbain,Urbaine,Fond,28.0,45.360176,5.589419,GRENOBLE
2016-02-13,FR15018,Voiron Urbain,Urbaine,Fond,16.0,45.360176,5.589419,GRENOBLE
2016-02-14,FR15018,Voiron Urbain,Urbaine,Fond,11.0,45.360176,5.589419,GRENOBLE
2016-02-15,FR15018,Voiron Urbain,Urbaine,Fond,9.1,45.360176,5.589419,GRENOBLE
2016-02-16,FR15018,Voiron Urbain,Urbaine,Fond,18.0,45.360176,5.589419,GRENOBLE
2016-02-17,FR15018,Voiron Urbain,Urbaine,Fond,21.0,45.360176,5.589419,GRENOBLE
2016-02-18,FR15018,Voiron Urbain,Urbaine,Fond,36.0,45.360176,5.589419,GRENOBLE
2016-02-19,FR15018,Voiron Urbain,Urbaine,Fond,26.0,45.360176,5.589419,GRENOBLE
2016-02-20,FR15018,Voiron Urbain,Urbaine,Fond,31.0,45.360176,5.589419,GRENOBLE
2016-02-21,FR15018,Voiron Urbain,Urbaine,Fond,30.0,45.360176,5.589419,GRENOBLE
2016-02-22,FR15018,Voiron Urbain,Urbaine,Fond,41.0,45.360176,5.589419,GRENOBLE
2016-02-23,FR15018,Voiron Urbain,Urbaine,Fond,22.0,45.360176,5.589419,GRENOBLE
2016-02-24,FR15018,Voiron Urbain,Urbaine,Fond,23.0,45.360176,5.589419,GRENOBLE
2016-02-25,FR15018,Voiron Urbain,Urbaine,Fond,23.0,45.360176,5.589419,GRENOBLE
2016-02-26,FR15018,Voiron Urbain,Urbaine,Fond,23.0,45.360176,5.589419,GRENOBLE
2016-02-27,FR15018,Voiron Urbain,Urbaine,Fond,23.0,45.360176,5.589419,GRENOBLE
2016-02-28,FR15018,Voiron Urbain,Urbaine,Fond,18.0,45.360176,5.589419,GRENOBLE
2016-02-29,FR15018,Voiron Urbain,Urbaine,Fond,15.0,45.360176,5.589419,GRENOBLE
2016-03-01,FR15018,Voiron Urbain,Urbaine,Fond,20.0,45.360176,5.589419,GRENOBLE
2016-03-02,FR15018,Voiron Urbain,Urbaine,Fond,31.0,45.360176,5.589419,GRENOBLE
2016-03-03,FR15018,Voiron Urbain,Urbaine,Fond,34.0,45.360176,5.589419,GRENOBLE
2016-03-04,FR15018,Voiron Urbain,Urbaine,Fond,24.0,45.360176,5.589419,GRENOBLE
2016-03-05,FR15018,Voiron Urbain,Urbaine,Fond,21.0,45.360176,5.589419,GRENOBLE
