station_id,station_name,gap_start,gap_end,gap_length_days
FR01011,Metz-Centre,2023-02-23,2023-02-23,1
FR01011,Metz-Centre,2023-03-28,2023-03-28,1
FR01011,Metz-Centre,2023-11-11,2023-11-16,6
FR01011,Metz-Centre,2023-12-28,2024-01-24,28
FR03068,TOULON FOCH,2018-02-18,2018-02-18,1
FR03068,TOULON FOCH,2018-10-21,2018-10-21,1
FR03068,TOULON FOCH,2018-11-29,2018-11-29,1
FR03068,TOULON FOCH,2019-06-16,2019-06-16,1
FR03068,TOULON FOCH,2019-11-08,2019-11-12,5
FR03068,TOULON FOCH,2019-11-26,2019-11-27,2
FR03068,TOULON FOCH,2020-07-26,2020-07-26,1
FR03068,TOULON FOCH,2020-08-09,2020-08-09,1
FR03068,TOULON FOCH,2020-09-20,2020-09-21,2
FR03068,TOULON FOCH,2020-10-02,2020-10-04,3
FR03068,TOULON FOCH,2023-11-03,2023-11-07,5
FR03068,TOULON FOCH,2024-09-24,2024-09-25,2
FR03068,TOULON FOCH,2024-11-30,2024-12-03,4
FR05089,Le Havre Lafaurie-montant,2019-06-30,2019-07-02,3
FR05089,Le Havre Lafaurie-montant,2022-07-12,2022-07-20,9
FR08616,Nimes Planas,2018-05-21,2018-05-21,1
FR08616,Nimes Planas,2019-05-20,2019-05-22,3
FR08616,Nimes Planas,2022-07-03,2022-07-04,2
FR08616,Nimes Planas,2022-07-14,2022-07-17,4
FR08616,Nimes Planas,2022-08-24,2022-08-24,1
FR08616,Nimes Planas,2022-09-24,2022-09-26,3
FR08616,Nimes Planas,2022-12-14,2022-12-14,1
FR16069,Mulhouse-Briand,2020-02-22,2020-02-23,2
FR19007,HALLES,2020-01-11,2020-01-12,2
FR19007,HALLES,2020-04-09,2020-04-09,1
FR19007,HALLES,2020-10-27,2020-10-27,1
FR19007,HALLES,2020-10-31,2020-11-01,2
FR19007,HALLES,2021-09-17,2021-09-27,11
FR19007,HALLES,2021-12-14,2021-12-15,2
FR19007,HALLES,2022-02-23,2022-02-24,2
FR19007,HALLES,2022-07-20,2022-07-24,5
FR19007,HALLES,2022-08-29,2022-08-29,1
FR19007,HALLES,2023-07-01,2023-07-04,4
FR19007,HALLES,2023-08-26,2023-08-28,3
FR19007,HALLES,2023-11-17,2023-11-26,10
FR19007,HALLES,2024-09-25,2024-09-26,2
FR21001,Caen Chemin-Vert,2018-01-11,2018-01-16,6
FR21001,Caen Chemin-Vert,2018-12-25,2018-12-25,1
FR21001,Caen Chemin-Vert,2019-01-29,2019-01-31,3
FR21001,Caen Chemin-Vert,2019-09-17,2019-09-18,2
FR21001,Caen Chemin-Vert,2023-02-23,2023-02-23,1
FR21001,Caen Chemin-Vert,2024-06-26,2024-06-26,1
FR23120,BEAUX ARTS,2024-05-04,2024-05-05,2
FR23174,GUEDOU,2019-07-12,2019-07-15,4
FR23174,GUEDOU,2020-08-30,2020-08-30,1
FR23174,GUEDOU,2024-08-01,2024-08-01,1
FR23188,CIM BOUTEILLERIE,2019-11-25,2019-11-28,4
FR23188,CIM BOUTEILLERIE,2020-09-11,2020-09-16,6
FR23188,CIM BOUTEILLERIE,2021-05-29,2021-06-01,4
FR26014,Dijon Trémouille,2017-11-12,2017-11-12,1
FR26014,Dijon Trémouille,2018-03-10,2018-03-11,2
FR26014,Dijon Trémouille,2019-01-30,2019-01-30,1
FR26014,Dijon Trémouille,2019-02-13,2019-02-17,5
FR26014,Dijon Trémouille,2019-10-29,2019-10-29,1
FR26014,Dijon Trémouille,2020-08-21,2020-08-23,3
FR26014,Dijon Trémouille,2021-02-26,2021-02-28,3
FR26014,Dijon Trémouille,2021-06-10,2021-06-17,8
FR26014,Dijon Trémouille,2022-01-02,2022-01-02,1
FR26014,Dijon Trémouille,2022-04-30,2022-05-08,9
FR26014,Dijon Trémouille,2022-06-05,2022-06-06,2
FR26014,Dijon Trémouille,2022-06-24,2022-06-26,3
FR26014,Dijon Trémouille,2022-07-30,2022-08-11,13
FR26014,Dijon Trémouille,2023-05-16,2023-05-16,1
FR26014,Dijon Trémouille,2024-02-24,2024-02-25,2
FR26014,Dijon Trémouille,2024-03-26,2024-03-28,3
FR26014,Dijon Trémouille,2024-10-10,2024-10-15,6
FR26014,Dijon Trémouille,2025-03-22,2025-03-23,2
FR30034,Nancy-Charles III,2018-01-05,2018-01-06,2
FR30034,Nancy-Charles III,2018-03-18,2018-03-18,1
FR30034,Nancy-Charles III,2018-04-14,2018-05-10,27
FR30034,Nancy-Charles III,2018-12-01,2018-12-03,3
FR30034,Nancy-Charles III,2019-11-17,2019-11-19,3
FR30034,Nancy-Charles III,2020-01-14,2020-01-20,7
FR30034,Nancy-Charles III,2020-03-14,2020-03-25,12
FR30034,Nancy-Charles III,2021-01-29,2021-02-01,4
FR30034,Nancy-Charles III,2021-03-26,2021-04-08,14
FR30034,Nancy-Charles III,2021-04-11,2021-04-11,1
FR30034,Nancy-Charles III,2021-04-30,2021-05-02,3
FR30034,Nancy-Charles III,2021-11-08,2021-11-15,8
FR30034,Nancy-Charles III,2025-01-11,2025-01-12,2
FR31001,GRAND PARC,2018-04-19,2018-04-22,4
FR31001,GRAND PARC,2018-08-06,2018-08-09,4
FR31001,GRAND PARC,2018-08-15,2018-08-15,1
FR31001,GRAND PARC,2018-10-07,2018-10-09,3
FR31001,GRAND PARC,2022-12-13,2022-12-13,1
FR31001,GRAND PARC,2022-12-29,2023-01-01,4
FR31001,GRAND PARC,2023-04-09,2023-04-10,2
FR31001,GRAND PARC,2025-03-28,2025-04-07,11
