publisher_zfe_id,publisher_nom,publisher_siren,publisher_forme_juridique,id,osm_id,ref,one_way,date_debut,date_fin,vp_critair,vp_horaires,vul_critair,vul_horaires,pl_critair,pl_horaires,autobus_autocars_critair,autobus_autocars_horaires,deux_rm_critair,deux_rm_horaires,zfe_derogation,url_arrete,url_site,url_site_information
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,primary_link,56315466.0,D 65,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,primary,390458864.0,,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,primary_link,137126633.0,D 65,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,secondary,132851114.0,D 17,0.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,secondary,132851114.0,D 17,0.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,secondary,132851114.0,D 17,0.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,secondary,132851114.0,D 17,0.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,secondary,132851114.0,D 17,0.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,secondary,132851114.0,D 17,0.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,secondary,22821685.0,D 17,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,secondary,22821679.0,D 17,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,secondary,22821685.0,D 17,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,motorway,479799021.0,A 709,1.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
MONTPELLIER,Montpellier Méditerranée Métropole,243400017,Métropole,primary,578399183.0,D 65,0.0,2022-07-01,,,24/7,,24/7,,24/7,,24/7,,24/7,transit,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,
